"Found","Response Code","Content Length"
"/wordpress/wp-includes/images/media/.htaccess.php","403","451"
"/wordpress/wp-includes/images/media/.htpasswd.php","403","451"
"/wordpress/wp-content/uploads/.htpasswd.php","403","451"
"/wordpress/wp-content/uploads/.hta.php","403","451"
"/wordpress/wp-content/uploads/.htaccess.php","403","451"
"/wordpress/wp-includes/js/dist/.hta/","403","451"
"/wordpress/wp-includes/js/dist/.htaccess/","403","451"
"/wordpress/wp-content/themes/.hta/","403","451"
"/wordpress/wp-includes/widgets/.htpasswd.php","403","451"
"/wordpress/wp-includes/widgets/.htaccess.php","403","451"
"/wordpress/wp-content/uploads/.hta/","403","451"
"/wordpress/wp-content/uploads/.htaccess/","403","451"
"/wordpress/wp-includes/images/media/.hta/","403","451"
"/wordpress/wp-content/themes/.htpasswd/","403","451"
"/wordpress/wp-content/themes/.htaccess/","403","451"
"/wordpress/wp-content/uploads/.htpasswd/","403","451"
"/wordpress/wp-includes/images/media/.htaccess/","403","451"
"/wordpress/wp-includes/js/dist/.htpasswd/","403","451"
"/wordpress/wp-includes/js/jquery/.htaccess.php","403","451"
"/wordpress/wp-includes/js/jquery/.hta.php","403","451"
"/wordpress/wp-includes/js/jquery/.htpasswd.php","403","451"
"/wordpress/wp-includes/images/media/.htpasswd/","403","451"
"/wordpress/wp-includes/js/jquery/.hta/","403","451"
"/wordpress/wp-includes/js/jquery/.htaccess/","403","451"
"/wordpress/wp-includes/css/dist/editor/.hta.php","403","451"
"/wordpress/wp-includes/css/dist/editor/.hta/","403","451"
"/wordpress/wp-includes/js/jquery/.htpasswd/","403","451"
"/wordpress/wp-includes/css/dist/editor/.htaccess.php","403","451"
"/wordpress/wp-includes/css/dist/editor/.htaccess/","403","451"
"/wordpress/wp-includes/js/dist/.hta.php","403","451"
"/wordpress/wp-includes/css/dist/editor/.htpasswd/","403","451"
"/wordpress/wp-includes/js/dist/.htaccess.php","403","451"
"/wordpress/wp-includes/widgets/.hta/","403","451"
"/wordpress/wp-includes/css/dist/editor/.htpasswd.php","403","451"
"/wordpress/wp-includes/js/dist/.htpasswd.php","403","451"
"/wordpress/wp-includes/widgets/.htaccess/","403","451"
"/wordpress/wp-includes/widgets/.htpasswd/","403","451"
"/wordpress/wp-content/themes/.hta.php","403","451"
"/wordpress/wp-content/themes/.htaccess.php","403","451"
"/wordpress/wp-content/themes/.htpasswd.php","403","451"
